neighbourhood,neighbourhood_group,latitude,longitude
Kensington,Brooklyn,40.6462149,-73.970694
Midtown,Manhattan,40.7551169,-73.98478
Harlem,Manhattan,40.8078786,-73.9454154
Clinton Hill,Brooklyn,40.6897222,-73.9652778
East Harlem,Manhattan,40.7947222,-73.9425
Murray Hill,Manhattan,40.7481574,-73.97875
Bedford-Stuyvesant,Brooklyn,40.6834364,-73.9412488
Hell's Kitchen,Manhattan,40.7644228,-73.9923918
Upper West Side,Manhattan,40.7870455,-73.9754163
Chinatown,Manhattan,40.7164913,-73.9962504
South Slope,Brooklyn,40.6604004,-73.9944088
West Village,Manhattan,40.7341857,-74.00558
Williamsburg,Brooklyn,40.714622,-73.95345
Fort Greene,Brooklyn,40.6907711,-73.9766245
Chelsea,Manhattan,40.7464906,-74.0015283
Crown Heights,Brooklyn,40.667471,-73.9435662
Park Slope,Brooklyn,40.6701033,-73.9859723
Windsor Terrace,Brooklyn,40.65348695,-73.97719596197135
Inwood,Manhattan,40.8692579,-73.9204949
East Village,Manhattan,40.7292688,-73.9873613
Greenpoint,Brooklyn,40.7237134,-73.9509714
Bushwick,Brooklyn,40.6942696,-73.9187482
Flatbush,Brooklyn,40.6520481,-73.959027
Lower East Side,Manhattan,40.7159357,-73.9868057
Long Island City,Queens,40.7455316,-73.9484995
Kips Bay,Manhattan,40.7395463,-73.9770832
SoHo,Manhattan,40.72288,-73.9987505
Upper East Side,Manhattan,40.7743831,-73.9646405
Prospect Heights,Brooklyn,40.6778708,-73.9684725
Washington Heights,Manhattan,40.8401984,-73.9402214
Woodside,Queens,40.7453798,-73.9054145
Brooklyn Heights,Brooklyn,40.696084850000005,-73.99502968353846
Carroll Gardens,Brooklyn,40.6784201,-73.9948021
Gowanus,Brooklyn,40.6791695,-73.9885041
Flatlands,Brooklyn,40.6212155,-73.9348597
Cobble Hill,Brooklyn,40.687547,-73.9973352
Flushing,Queens,40.7654301,-73.8174291
Boerum Hill,Brooklyn,40.68562615,-73.98417065807277
Sunnyside,Queens,40.7398242,-73.9354153
DUMBO,Brooklyn,40.7029052,-73.990118
St. George,Staten Island,40.6439626,-74.0734416
Highbridge,Bronx,40.83653245,-73.92959563928643
Financial District,Manhattan,40.7076681,-74.009271
Ridgewood,Queens,40.7080556,-73.9141667
Morningside Heights,Manhattan,40.81,-73.9625
Jamaica,Queens,40.6987631,-73.8088251
Middle Village,Queens,40.7179844,-73.87880753380317
NoHo,Manhattan,40.7258746,-73.9939566
Ditmars Steinway,Queens,40.7749872,-73.9121176
Flatiron District,Manhattan,40.7410722,-73.9896534
Roosevelt Island,Manhattan,40.76133675,-73.95028526170718
Greenwich Village,Manhattan,40.7319802,-73.9965658
Little Italy,Manhattan,40.7192728,-73.9982152
East Flatbush,Brooklyn,40.6537148,-73.9304151
Tompkinsville,Staten Island,40.6364926,-74.0854193
Astoria,Queens,40.7720145,-73.9302673
Clason Point,Bronx,40.8147164,-73.8599648
Eastchester,Bronx,40.8884329,-73.8281895
Kingsbridge,Bronx,40.8787051,-73.9051408
Two Bridges,Manhattan,40.7112884,-73.9922333
Queens Village,Queens,40.7267692,-73.7415208
Rockaway Beach,Queens,40.580982399999996,-73.82292466512587
Forest Hills,Queens,40.723100900000006,-73.84661252338407
Nolita,Manhattan,40.7229886,-73.994558
Woodlawn,Bronx,40.8862717,-73.8785813
University Heights,Bronx,40.8601,-73.909303
Gravesend,Brooklyn,40.5961338,-73.9739426
Gramercy,Manhattan,40.7355189,-73.9840794
Allerton,Bronx,40.8654299,-73.8673652
East New York,Brooklyn,40.6667702,-73.8823583
Theater District,Manhattan,40.7579801,-73.9855452
Concourse Village,Bronx,40.823868149999996,-73.92118091218828
Sheepshead Bay,Brooklyn,40.5912161,-73.9445822
Emerson Hill,Staten Island,40.6087154,-74.0959751
Fort Hamilton,Brooklyn,40.60879985,-74.02956905242915
Bensonhurst,Brooklyn,40.6049772,-73.9934061
Tribeca,Manhattan,40.7153802,-74.0093063
Shore Acres,Staten Island,40.60901349641691,-74.06102799852557
Sunset Park,Brooklyn,40.6442221,-74.0075907
Concourse,Bronx,40.8185039,-73.9270562
Elmhurst,Queens,40.7365804,-73.8783932
Brighton Beach,Brooklyn,40.57964365,-73.96111022551311
Jackson Heights,Queens,40.7556561,-73.8857755
Cypress Hills,Brooklyn,40.6770477,-73.8912474
St. Albans,Queens,40.6912611,-73.7655652
Arrochar,Staten Island,40.5984379,-74.0726412
Rego Park,Queens,40.72286495,-73.86210252803048
Wakefield,Bronx,40.9061974,-73.8555114
Clifton,Staten Island,40.6201041,-74.0770857
Bay Ridge,Brooklyn,40.6320062,-74.0232101
Graniteville,Staten Island,40.6250747,-74.1487418
Spuyten Duyvil,Bronx,40.8811676,-73.917279
Stapleton,Staten Island,40.6264774,-74.0776361
Briarwood,Queens,40.7092563,-73.8201394
Ozone Park,Queens,40.67677,-73.8437461
Columbia St,Brooklyn,40.671215829853935,-74.00873428090125
Vinegar Hill,Brooklyn,40.701519399999995,-73.98263570142457
Mott Haven,Bronx,40.8089897,-73.9229147
Longwood,Bronx,40.8162916,-73.8962205
